Schema,Table,Modul,Canonical,LegacyAday,PrimaryKey,ForeignKeys,UniqueConstraints,CheckConstraints,RLS_Enabled,Policy_Sayisi,Frontend_from_Ref,Frontend_Genis_Ref,Migration_Ref,Index_Sayisi,Trigger_Sayisi,Est_Rows,Veri_Hassasiyeti,Durum,Oneri
public,todos,WORKSPACE,hayir,EVET,id,,,5,EVET,4,0,1,0,1,0,-1,LOW,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,turkish_mission_relations,DIRECTORY,hayir,hayir,id,child_mission_slug->turkish_missions(CASCADE); parent_mission_slug->turkish_missions(CASCADE),source_key,9,EVET,2,0,1,1,4,1,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,turkish_mission_units,DIRECTORY,hayir,hayir,id,mission_slug->turkish_missions(CASCADE),source_key,14,EVET,2,0,1,1,4,1,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,turkish_missions,DIRECTORY,kismi,hayir,id,,slug; source_url,24,EVET,2,1,2,4,10,4,241,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,user_connections,DIRECTORY,kismi,hayir,id,,"requester_id,recipient_id",5,EVET,4,1,2,2,4,2,-1,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,user_cvs,AUTH_PROFILE,hayir,hayir,id,,,9,EVET,2,0,1,0,1,0,-1,HIGH,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,user_feature_overrides,AUTH_PROFILE,kismi,hayir,"user_id,feature_key",feature_key->feature_catalog(CASCADE),,5,EVET,1,2,4,16,2,0,59,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,user_follows,DIRECTORY,kismi,hayir,id,,"follower_id,following_id",5,EVET,3,4,5,2,4,0,-1,MEDIUM,ACTIVE_MODULE,Koru; modul tablosu
public,user_profile_attributes,AUTH_PROFILE,EVET,hayir,id,attribute_id->attribute_catalog(CASCADE),"user_id,attribute_id",10,EVET,1,7,9,16,4,6,196,HIGH,ACTIVE_CORE,Koru; cekirdek tablo
public,user_role_assignments,AUTH_PROFILE,EVET,hayir,user_id,role_id->roles(RESTRICT),,4,EVET,1,9,11,13,2,3,107,HIGH,ACTIVE_CORE,Koru; cekirdek tablo
public,user_taxonomy_selections,TAXONOMY_LEGACY,hayir,EVET,id,group_id->taxonomy_groups(CASCADE); option_id->taxonomy_options(CASCADE),"user_id,group_id,option_id",6,EVET,1,1,3,5,3,0,-1,MEDIUM,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,wa_messages,WHATSAPP_COMMUNITIES,hayir,hayir,id,,,2,EVET,0,0,1,0,2,0,235,HIGH,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,wa_tasks,WHATSAPP_COMMUNITIES,hayir,hayir,id,,,4,EVET,0,0,1,0,3,0,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,wa_users,WHATSAPP_COMMUNITIES,hayir,EVET,id,,wa_id,3,EVET,0,0,1,2,3,1,25,HIGH,LEGACY_REVIEW,Frontend/RPC referansini dogrula; legacy ise migrate-then-retire
public,welcome_pack_orders,DIRECTORY,kismi,hayir,id,,,17,EVET,5,3,4,3,1,1,-1,HIGH,ACTIVE_MODULE,Koru; modul tablosu
public,welcome_pack_proposals,DIRECTORY,hayir,hayir,id,order_id->welcome_pack_orders(CASCADE),,7,EVET,5,0,1,1,1,0,-1,LOW,UNKNOWN_MANUAL_REVIEW,"Manuel inceleme: kod referansi yok, amac belirsiz"
public,whatsapp_join_requests,WHATSAPP_COMMUNITIES,kismi,hayir,id,landing_id->whatsapp_landings(CASCADE),,5,EVET,2,2,3,3,3,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,whatsapp_landing_editors,WHATSAPP_COMMUNITIES,kismi,hayir,id,landing_id->whatsapp_landings(CASCADE),"landing_id,user_id",5,EVET,2,1,2,3,4,0,-1,LOW,ACTIVE_MODULE,Koru; modul tablosu
public,whatsapp_landings,WHATSAPP_COMMUNITIES,kismi,hayir,id,,slug,19,EVET,11,1,3,10,8,4,9,LOW,ACTIVE_MODULE,Koru; modul tablosu
